temperature,pressure,humidity,precipitation
-45.0,740.0,11.0,27.059508958137467
-45.0,740.0,14.0,29.416951422916497
-45.0,740.0,17.0,31.4
-45.0,740.0,18.0,31.98486165350384
-45.0,740.0,31.0,36.481563465931316
-45.0,740.0,38.0,40.926565322277284
-45.0,740.0,49.0,49.66965326374945
-45.0,740.0,87.0,69.97480884105909
-45.0,740.0,90.0,69.96906480352413
-45.0,740.0,99.0,69.73374933262146
-45.0,741.0,3.0,18.76513493800142
-45.0,741.0,18.0,31.98486165350384
-45.0,741.0,24.0,34.77278139931677
-45.0,741.0,26.0,35.433291465611006
-45.0,741.0,30.0,36.34409685610564
-45.0,741.0,31.0,36.4747782002535
-45.0,741.0,34.0,36.636363636363654
-45.0,741.0,36.0,38.91214599383282
-45.0,741.0,44.0,45.97073296088704
-45.0,741.0,50.0,50.402675746028294
-45.0,741.0,54.0,53.437808747482684
-45.0,741.0,68.0,69.98352985214301
-45.0,741.0,81.0,69.98046956952949
-45.0,741.0,83.0,69.97909975303419
-45.0,741.0,89.0,69.97134870186524
-45.0,742.0,17.0,31.4
-45.0,742.0,27.0,35.713769791890634
-45.0,742.0,28.0,35.932508307551274
-45.0,742.0,37.0,39.972303770601336
-45.0,742.0,54.0,53.437808747482684
-45.0,742.0,82.0,69.9798322698007
-45.0,742.0,89.0,69.97134870186524
-45.0,742.0,93.0,69.95811720786342
-45.0,742.0,98.0,69.86480387920687
-45.0,743.0,33.0,36.414332518111785
-45.0,743.0,43.0,45.313251318279804
-45.0,743.0,46.0,47.47208444650656
-45.0,743.0,64.0,63.01675730023029
-45.0,743.0,66.0,66.11917470275404
-45.0,743.0,91.0,69.96624927713405
-45.0,744.0,8.0,29.12612612612617
-45.0,744.0,13.0,29.12612612612617
-45.0,744.0,21.0,33.463166833469785
-45.0,744.0,43.0,45.77765671758492
-45.0,744.0,61.0,58.766313780924385
-45.0,744.0,65.0,64.08082368950151
-45.0,744.0,85.0,69.97727845790443
-45.0,745.0,26.0,34.773716742811075
-45.0,745.0,28.0,35.32797052278282
-45.0,745.0,30.0,35.747597930524755
-45.0,745.0,43.0,46.51843111181784
-45.0,745.0,68.0,69.97825549789968
-45.0,745.0,73.0,69.97825549789968
-45.0,745.0,79.0,69.97825549789968
-45.0,745.0,87.0,69.97480884105909
-45.0,745.0,89.0,69.97134870186524
-45.0,745.0,98.0,69.86480387920687
-45.0,745.0,99.0,69.73374933262146
-45.0,746.0,1.0,33.24744376278117
-45.0,746.0,17.0,32.766836445953594
-45.0,746.0,65.0,64.08082368950151
-45.0,746.0,75.0,69.98058680785351
-45.0,746.0,78.0,69.98058680785351
-45.0,746.0,83.0,69.97909975303419
-45.0,746.0,93.0,69.95811720786342
-45.0,747.0,0.0,34.70084200099061
-45.0,747.0,6.0,34.70084200099061
-45.0,747.0,25.0,35.04681672784094
-45.0,747.0,55.0,54.24220710858569
-45.0,747.0,57.0,55.93814082975087
-45.0,747.0,73.0,69.98208104255757
-45.0,747.0,84.0,69.97825549789968
-45.0,747.0,91.0,69.96624927713405
-45.0,748.0,43.0,45.197309743416255
-45.0,748.0,83.0,69.97909975303419
-45.0,748.0,96.0,69.93030393030394
-45.0,748.0,97.0,69.90852762280637
-45.0,749.0,13.0,36.081582389398406
-45.0,749.0,18.0,35.91091739237039
-45.0,749.0,22.0,36.13261297697429
-45.0,749.0,36.0,38.91214599383282
-45.0,749.0,42.0,44.40386692030123
-45.0,749.0,57.0,55.93814082975087
-45.0,749.0,62.0,60.97300580453746
-45.0,749.0,92.0,69.96270396270394
-45.0,749.0,93.0,69.95811720786342
-45.0,750.0,19.0,36.21648659463786
-45.0,750.0,23.0,36.403050108932476
-45.0,750.0,32.0,36.655773420479306
-45.0,750.0,48.0,48.939347912368234
-45.0,750.0,87.0,69.97480884105909
-45.0,751.0,3.0,35.282874617737015
-45.0,751.0,14.0,34.90842306390381
-45.0,751.0,18.0,34.724689693755764
-45.0,751.0,36.0,37.662166238018045
-45.0,751.0,42.0,43.18906800623885
-45.0,751.0,95.0,50.327795679826785
-45.0,752.0,0.0,31.4
-45.0,752.0,5.0,31.4
-45.0,752.0,9.0,31.4
-45.0,752.0,22.0,31.4
-45.0,752.0,35.0,32.82768620268615
-45.0,752.0,45.0,42.93079128415353
-45.0,752.0,66.0,51.05440901305041
-45.0,752.0,82.0,51.14214497440044
-45.0,753.0,0.0,24.75490196078432
-45.0,753.0,1.0,24.75490196078432
-45.0,753.0,11.0,25.377596277106594
-45.0,753.0,43.0,37.429786154196556
-45.0,753.0,61.0,43.93638370698625
-45.0,753.0,62.0,44.15813409355886
-45.0,753.0,63.0,44.34868487029216
-45.0,753.0,77.0,44.89460918295818
-45.0,753.0,86.0,46.7671171600609
-45.0,753.0,87.0,47.172261191118366
-45.0,753.0,94.0,50.411235388056525
-45.0,754.0,2.0,13.37690631808279
-45.0,754.0,18.0,15.341176470588236
-45.0,754.0,30.0,13.4984520123839
-45.0,754.0,39.0,20.870088225260087
-45.0,754.0,45.0,27.059508958137467
-45.0,754.0,59.0,35.11954097408996
-45.0,754.0,74.0,36.56798245614036
-45.0,754.0,97.0,35.23053278688525
-45.0,755.0,50.0,30.777150730974213
-45.0,755.0,52.0,31.98486165350384
-45.0,755.0,57.0,34.39312482933236
-45.0,755.0,72.0,36.62037037037038
-45.0,755.0,92.0,35.59523809523809
-45.0,756.0,0.0,13.706293706293707
-45.0,756.0,44.0,26.178440085064754
-45.0,756.0,60.0,35.433291465611006
-45.0,756.0,68.0,36.5734265734266
-45.0,756.0,85.0,36.05229591836735
-45.0,757.0,14.0,14.93464052287582
-45.0,757.0,26.0,14.112554112554113
-45.0,757.0,37.0,19.099243823117174
-45.0,757.0,45.0,27.059508958137467
-45.0,757.0,53.0,32.53432256766351
-45.0,758.0,4.0,14.626262626262625
-45.0,758.0,16.0,15.341176470588236
-45.0,758.0,52.0,31.98486165350384
-45.0,758.0,75.0,36.34343434343434
-45.0,758.0,86.0,35.99166666666666
-45.0,759.0,1.0,15.227272727272734
-45.0,759.0,10.0,15.227272727272734
-45.0,759.0,21.0,15.227272727272734
-45.0,759.0,26.0,15.227272727272734
-45.0,759.0,50.0,30.777150730974213
-45.0,759.0,51.0,31.4
-45.0,759.0,69.0,36.193181818181806
-45.0,759.0,83.0,36.16799645390071
-45.0,759.0,99.0,35.07771164021164
-45.0,760.0,1.0,15.900178253119437
-45.0,760.0,9.0,15.900178253119437
-45.0,760.0,13.0,15.900178253119437
-45.0,760.0,15.0,15.900178253119437
-45.0,760.0,45.0,29.947660324592594
-45.0,760.0,48.0,31.27475951400668
-45.0,760.0,61.0,34.91337066927841
-45.0,760.0,89.0,35.799921383647806
-45.0,760.0,91.0,35.66477272727274
-45.0,761.0,5.0,16.632996632996637
-45.0,761.0,48.0,32.349551856594125
-45.0,761.0,55.0,32.349551856594125
-45.0,761.0,63.0,35.15062119830614
-45.0,761.0,70.0,35.841750841750866
-45.0,761.0,85.0,35.841750841750866
-45.0,761.0,93.0,35.524488304093545
-45.0,761.0,95.0,35.379590395480214
-45.0,762.0,13.0,17.416267942583744
-45.0,762.0,30.0,17.416267942583744
-45.0,762.0,37.0,25.412681456180017
-45.0,762.0,48.0,32.99686520376174
-45.0,762.0,56.0,32.99686520376174
-45.0,762.0,65.0,35.317496449703654
-45.0,762.0,76.0,35.64593301435406
-45.0,762.0,82.0,35.64593301435406
-45.0,762.0,86.0,35.64593301435406
-45.0,762.0,92.0,35.59523809523809
-45.0,762.0,98.0,35.15456989247311
-45.0,763.0,4.0,18.24242424242425
-45.0,763.0,7.0,18.24242424242425
-45.0,763.0,14.0,18.24242424242425
-45.0,763.0,24.0,18.24242424242425
-45.0,763.0,28.0,18.24242424242425
-45.0,763.0,30.0,18.24242424242425
-45.0,763.0,54.0,33.65479115479116
-45.0,763.0,60.0,33.65479115479116
-45.0,763.0,62.0,33.74895477108263
-45.0,763.0,73.0,35.43939393939394
-45.0,763.0,97.0,35.23053278688525
-45.0,764.0,15.0,19.10533910533911
-45.0,764.0,28.0,19.10533910533911
-45.0,764.0,39.0,34.32269717037932
-45.0,764.0,73.0,35.22366522366525
-45.0,765.0,1.0,19.10533910533911
-45.0,765.0,6.0,19.10533910533911
-45.0,765.0,8.0,19.10533910533911
-45.0,765.0,9.0,19.10533910533911
-45.0,765.0,12.0,19.10533910533911
-45.0,765.0,14.0,19.10533910533911
-45.0,765.0,15.0,19.10533910533911
-45.0,765.0,19.0,19.10533910533911
-45.0,765.0,20.0,19.10533910533911
-45.0,765.0,23.0,19.10533910533911
-45.0,765.0,25.0,19.10533910533911
-45.0,765.0,40.0,34.32269717037932
-45.0,765.0,58.0,34.32269717037932
-45.0,765.0,61.0,34.32269717037932
-45.0,765.0,73.0,35.22366522366525
-45.0,765.0,92.0,35.22366522366525
-44.0,740.0,8.0,24.2518499048011
-44.0,740.0,10.0,26.178440085064754
-44.0,740.0,14.0,29.416951422916497
-44.0,740.0,20.0,33.04933303151019
